depth_cm,dose_percent
0.15,99.6493
0.45,100
0.75,99.1
1.05,98.3778
1.35,98.0681
1.65,97.7038
1.95,96.5224
2.25,95.5728
2.55,95.4526
2.85,94.9368
3.15,93.8975
3.45,93.0516
3.75,91.9625
4.05,91.4831
4.35,90.8557
4.65,90.413
4.95,89.6299
5.25,88.4789
5.55,87.2331
5.85,86.5559
6.15,86.1808
6.45,85.0133
6.75,84.2266
7.05,83.6791
7.35,82.0094
7.65,81.3927
7.95,80.5151
8.25,80.2019
8.55,79.1493
8.85,77.8969
9.15,77.5877
9.45,76.5732
9.75,75.5808
10.05,75.0758
10.35,73.7416
10.65,73.3653
10.95,72.3201
11.25,71.5736
11.55,70.539
11.85,69.8895
12.15,69.0069
12.45,68.1803
12.75,67.2977
13.05,66.5398
13.35,65.6097
13.65,65.4233
13.95,64.5454
14.25,63.4414
14.55,62.6398
14.85,61.7244
15.15,61.0508
15.45,60.7041
15.75,59.7223
16.05,58.7063
16.35,57.8253
16.65,57.8043
16.95,56.5432
17.25,55.9873
17.55,55.2341
17.85,54.5465
18.15,54.0826
18.45,53.8049
18.75,52.6433
19.05,52.0027
19.35,51.4843
19.65,50.7348
19.95,50.2616
20.25,49.6747
20.55,48.9368
20.85,48.0074
21.15,47.4322
21.45,47.1658
21.75,46.2449
22.05,45.6365
22.35,45.457
22.65,44.6614
22.95,43.725
23.25,43.5635
23.55,42.7792
23.85,42.311
24.15,41.8012
24.45,41.2235
24.75,41.0075
25.05,40.2117
25.35,39.5285
25.65,39.2354
25.95,38.9498
26.25,37.8697
26.55,37.7045
26.85,37.1413
27.15,36.8227
27.45,36.4111
27.75,35.5528
28.05,35.1498
28.35,34.9295
28.65,34.3402
28.95,33.7945
29.25,33.1753
29.55,32.6383
29.85,32.7133
