 ,dose_percent
-14.85,0.507103
-14.55,0.648128
-14.25,0.626999
-13.95,0.6847
-13.65,0.73588
-13.35,0.773087
-13.05,1.00541
-12.75,0.936088
-12.45,0.982623
-12.15,1.04285
-11.85,1.07859
-11.55,1.11831
-11.25,1.24056
-10.95,1.4033
-10.65,1.56204
-10.35,1.56968
-10.05,1.45151
-9.75,1.85821
-9.45,2.18557
-9.15,2.05361
-8.85,2.23551
-8.55,2.24964
-8.25,2.74362
-7.95,2.8727
-7.65,3.5672
-7.35,3.89423
-7.05,4.29555
-6.75,4.33646
-6.45,5.62629
-6.15,5.7297
-5.85,6.79437
-5.55,8.01952
-5.25,8.84548
-4.95,62.57
-4.65,88.6466
-4.35,89.8926
-4.05,94.2361
-3.75,94.1046
-3.45,94.2323
-3.15,91.7149
-2.85,92.7339
-2.55,94.7021
-2.25,92.9972
-1.95,95.7613
-1.65,93.9772
-1.35,98.5656
-1.05,96.4934
-0.75,96.6428
-0.45,93.8183
-0.15,92.3504
0.15,95.1678
0.45,97.3825
0.75,98.9129
1.05,95.8476
1.35,97.0351
1.65,98.2762
1.95,97.5219
2.25,99.1547
2.55,94.8239
2.85,95.2204
3.15,100
3.45,92.744
3.75,91.3716
4.05,92.6385
4.35,90.8088
4.65,89.3192
4.95,64.8679
5.25,9.70168
5.55,8.15836
5.85,6.97828
6.15,6.27573
6.45,4.97457
6.75,5.15497
7.05,4.25482
7.35,4.00326
7.65,4.05216
7.95,3.3693
8.25,2.72628
8.55,2.95802
8.85,2.22998
9.15,2.41825
9.45,2.21942
9.75,2.1757
10.05,1.7679
10.35,1.58708
10.65,1.53191
10.95,1.46961
11.25,1.22667
11.55,1.22167
11.85,1.19314
12.15,1.10799
12.45,1.02326
12.75,0.943345
13.05,0.854036
13.35,0.774179
13.65,0.743711
13.95,0.722963
14.25,0.547524
14.55,0.548768
14.85,0.635586
