versione,gruppo,phantom,n_fotoni,tempo_medio_s,tempo_std_s,h2d_medio_ms,kernel_medio_ms,d2h_medio_ms,modalita,flop_per_fotone,byte_per_fotone,gflops,banda_gbs,milioni_fotoni_s,intensita_aritmetica,speedup_vs_seq,speedup_e2e_vs_seq,speedup_vs_par,speedup_e2e_vs_par,speedup_relativo,p_amdahl,s_max_amdahl,gustafson
CPU_SEQ,BEERLAMBERT,0,5000000,0.552298,,,,,"('BEERLAMBERT', '0')",50,56,0.452654,0.506973,9.053084,0.892857,1.000000,1.000000,0.786373,0.786373,,,,
CPU_SEQ,BEERLAMBERT,0,10000000,1.064388,,,,,"('BEERLAMBERT', '0')",50,56,0.469754,0.526124,9.395070,0.892857,1.000000,1.000000,0.787068,0.787068,,,,
CPU_SEQ,BEERLAMBERT,0,50000000,5.868588,,,,,"('BEERLAMBERT', '0')",50,56,0.425997,0.477116,8.519937,0.892857,1.000000,1.000000,0.716234,0.716234,,,,
CPU_SEQ,BEERLAMBERT,1,100000,0.011248,,,,,"('BEERLAMBERT', '1')",50,56,0.444523,0.497866,8.890469,0.892857,1.000000,1.000000,1.380868,1.380868,,,,
CPU_SEQ,BEERLAMBERT,1,500000,0.098217,,,,,"('BEERLAMBERT', '1')",50,56,0.254538,0.285083,5.090768,0.892857,1.000000,1.000000,0.872038,0.872038,,,,
CPU_SEQ,BEERLAMBERT,1,1000000,0.110576,,,,,"('BEERLAMBERT', '1')",50,56,0.452178,0.506439,9.043554,0.892857,1.000000,1.000000,0.801702,0.801702,,,,
CPU_SEQ,BEERLAMBERT,1,5000000,0.556521,,,,,"('BEERLAMBERT', '1')",50,56,0.449219,0.503126,8.984387,0.892857,1.000000,1.000000,0.747614,0.747614,,,,
CPU_SEQ,BEERLAMBERT,1,10000000,1.113463,,,,,"('BEERLAMBERT', '1')",50,56,0.449049,0.502935,8.980990,0.892857,1.000000,1.000000,0.783828,0.783828,,,,
CPU_SEQ,BEERLAMBERT,1,50000000,5.468953,,,,,"('BEERLAMBERT', '1')",50,56,0.457126,0.511981,9.142518,0.892857,1.000000,1.000000,0.755378,0.755378,,,,
CPU_SEQ,COMPLETA,0,100000,1.652424,,,,,"('COMPLETA', '0')",1220,56,0.073831,0.003389,0.060517,21.785714,1.000000,1.000000,0.480594,0.480594,,,,
CPU_SEQ,COMPLETA,0,500000,5.273800,,,,,"('COMPLETA', '0')",1220,56,0.115666,0.005309,0.094808,21.785714,1.000000,1.000000,0.739399,0.739399,,,,
CPU_SEQ,COMPLETA,0,1000000,11.234259,,,,,"('COMPLETA', '0')",1220,56,0.108596,0.004985,0.089013,21.785714,1.000000,1.000000,0.780070,0.780070,,,,
CPU_SEQ,COMPLETA,0,5000000,56.008366,,,,,"('COMPLETA', '0')",1220,56,0.108912,0.004999,0.089272,21.785714,1.000000,1.000000,0.802688,0.802688,,,,
CPU_SEQ,COMPLETA,0,10000000,111.386098,,,,,"('COMPLETA', '0')",1220,56,0.109529,0.005028,0.089778,21.785714,1.000000,1.000000,0.792729,0.792729,,,,
CPU_SEQ,COMPLETA,0,50000000,564.720691,,,,,"('COMPLETA', '0')",1220,56,0.108018,0.004958,0.088539,21.785714,1.000000,1.000000,0.788686,0.788686,,,,
CPU_SEQ,COMPLETA,1,100000,1.144159,,,,,"('COMPLETA', '1')",1220,56,0.106629,0.004894,0.087400,21.785714,1.000000,1.000000,0.703300,0.703300,,,,
CPU_SEQ,COMPLETA,1,500000,6.232005,,,,,"('COMPLETA', '1')",1220,56,0.097882,0.004493,0.080231,21.785714,1.000000,1.000000,0.678044,0.678044,,,,
CPU_SEQ,COMPLETA,1,1000000,11.736066,,,,,"('COMPLETA', '1')",1220,56,0.103953,0.004772,0.085207,21.785714,1.000000,1.000000,0.853476,0.853476,,,,
CPU_SEQ,COMPLETA,1,5000000,57.318517,,,,,"('COMPLETA', '1')",1220,56,0.106423,0.004885,0.087232,21.785714,1.000000,1.000000,0.795186,0.795186,,,,
CPU_SEQ,COMPLETA,1,10000000,115.941890,,,,,"('COMPLETA', '1')",1220,56,0.105225,0.004830,0.086250,21.785714,1.000000,1.000000,0.792831,0.792831,,,,
CPU_SEQ,COMPLETA,1,50000000,592.780291,,,,,"('COMPLETA', '1')",1220,56,0.102905,0.004724,0.084348,21.785714,1.000000,1.000000,0.788754,0.788754,,,,
GPU_V1,BEERLAMBERT,0,100000,0.006507,,0.987000,0.212000,5.308000,"('BEERLAMBERT', '0')",50,56,0.768403,0.860612,15.368065,0.892857,2.185339,2.185339,2.334563,2.334563,,0.542407,2.185349,142189.232911
GPU_V1,BEERLAMBERT,0,500000,0.007264,,1.038000,0.811000,5.416000,"('BEERLAMBERT', '0')",50,56,3.441630,3.854626,68.832599,0.892857,12.358067,12.356366,11.214482,11.212939,,0.919085,12.358603,240932.621384
GPU_V1,BEERLAMBERT,0,1000000,0.007830,,0.991000,1.578000,5.262000,"('BEERLAMBERT', '0')",50,56,6.385696,7.151980,127.713921,0.892857,17.113027,17.110842,14.182503,14.180692,,0.941569,17.114079,246826.611105
GPU_V1,BEERLAMBERT,0,5000000,0.014457,,0.998000,7.531000,5.928000,"('BEERLAMBERT', '0')",50,56,17.292661,19.367780,345.853220,0.892857,38.202808,38.202808,30.041641,30.041641,,0.973828,38.208231,255283.096086
GPU_V1,BEERLAMBERT,0,10000000,0.021883,,1.070000,14.981000,5.832000,"('BEERLAMBERT', '0')",50,56,22.848787,25.590641,456.975735,0.892857,48.639949,48.639949,38.282959,38.282959,,0.979445,48.648790,256755.520645
GPU_V1,BEERLAMBERT,0,50000000,0.081519,,1.050000,74.811000,5.658000,"('BEERLAMBERT', '0')",50,56,30.667697,34.347821,613.353942,0.892857,71.990432,71.990432,51.561979,51.561979,,0.986113,72.009933,258503.627197
GPU_V1,BEERLAMBERT,1,100000,0.006316,,1.025000,0.212000,5.079000,"('BEERLAMBERT', '1')",50,56,0.791640,0.886637,15.832806,0.892857,1.780874,1.780874,2.459151,2.459151,,0.438480,1.780879,114945.364154
GPU_V1,BEERLAMBERT,1,500000,0.007106,,0.977000,0.813000,5.316000,"('BEERLAMBERT', '1')",50,56,3.518154,3.940332,70.363073,0.892857,13.821700,13.821700,12.053054,12.053054,,0.927654,13.822376,243178.881467
GPU_V1,BEERLAMBERT,1,1000000,0.007778,,0.988000,1.555000,5.234000,"('BEERLAMBERT', '1')",50,56,6.428388,7.199794,128.567755,0.892857,14.216508,14.218336,11.397403,11.398868,,0.929663,14.217225,243705.591521
GPU_V1,BEERLAMBERT,1,5000000,0.013946,,1.033000,7.561000,5.352000,"('BEERLAMBERT', '1')",50,56,17.926287,20.077442,358.525742,0.892857,39.905421,39.905421,29.833859,29.833859,,0.974944,39.911344,255575.867435
GPU_V1,BEERLAMBERT,1,10000000,0.022127,,1.017000,15.049000,6.061000,"('BEERLAMBERT', '1')",50,56,22.596827,25.308447,451.936548,0.892857,50.321462,50.321462,39.443350,39.443350,,0.980132,50.330932,256935.612451
GPU_V1,BEERLAMBERT,1,50000000,0.081313,,1.088000,74.813000,5.412000,"('BEERLAMBERT', '1')",50,56,30.745391,34.434838,614.907825,0.892857,67.258040,67.258040,50.805259,50.805259,,0.985136,67.275044,258247.413922
GPU_V1,COMPLETA,0,100000,0.223488,,1.066000,216.912000,5.510000,"('COMPLETA', '0')",1220,56,0.545891,0.025057,0.447451,21.785714,7.393793,7.393793,3.553412,3.553412,,0.864755,7.393973,226690.396174
GPU_V1,COMPLETA,0,500000,0.626540,,1.061000,619.730000,5.749000,"('COMPLETA', '0')",1220,56,0.973601,0.044690,0.798034,21.785714,8.417340,8.417340,6.223777,6.223777,,0.881201,8.417578,231001.668482
GPU_V1,COMPLETA,0,1000000,0.980794,,1.150000,973.952000,5.692000,"('COMPLETA', '0')",1220,56,1.243890,0.057097,1.019582,21.785714,11.454249,11.454249,8.935117,8.935117,,0.912700,11.454706,239258.821006
GPU_V1,COMPLETA,0,5000000,4.642855,,1.088000,4635.541000,6.226000,"('COMPLETA', '0')",1220,56,1.313847,0.060308,1.076924,21.785714,12.063346,12.063346,9.683101,9.683101,,0.917108,12.063855,240414.378880
GPU_V1,COMPLETA,0,10000000,9.242804,,1.020000,9235.122000,6.662000,"('COMPLETA', '0')",1220,56,1.319946,0.060588,1.081923,21.785714,12.051115,12.051115,9.553266,9.553266,,0.917024,12.051623,240392.324798
GPU_V1,COMPLETA,0,50000000,45.849621,,1.032000,45842.699000,5.889000,"('COMPLETA', '0')",1220,56,1.330436,0.061069,1.090522,21.785714,12.316802,12.316802,9.714086,9.714087,,0.918814,12.317333,240861.552733
GPU_V1,COMPLETA,1,100000,0.122077,,1.023000,115.574000,5.480000,"('COMPLETA', '1')",1220,56,0.999369,0.045873,0.819155,21.785714,9.372437,9.372437,6.591635,6.591635,,0.893308,9.372736,234175.327002
GPU_V1,COMPLETA,1,500000,0.528644,,1.063000,522.100000,5.481000,"('COMPLETA', '1')",1220,56,1.153896,0.052966,0.945816,21.785714,11.788661,11.788661,7.993226,7.993226,,0.915176,11.789146,239908.038904
GPU_V1,COMPLETA,1,1000000,1.036308,,1.046000,1029.763000,5.500000,"('COMPLETA', '1')",1220,56,1.177256,0.054038,0.964964,21.785714,11.324882,11.324871,9.665513,9.665503,,0.911702,11.325328,238997.386110
GPU_V1,COMPLETA,1,5000000,5.140459,,1.102000,5133.862000,5.495000,"('COMPLETA', '1')",1220,56,1.186664,0.054470,0.972676,21.785714,11.150467,11.150467,8.866692,8.866692,,0.910321,11.150898,238635.311428
GPU_V1,COMPLETA,1,10000000,10.271698,,1.010000,10265.101000,5.588000,"('COMPLETA', '1')",1220,56,1.187730,0.054519,0.973549,21.785714,11.287510,11.287509,8.949092,8.949091,,0.911410,11.287953,238920.745156
GPU_V1,COMPLETA,1,50000000,51.174703,,1.028000,51166.969000,6.707000,"('COMPLETA', '1')",1220,56,1.191995,0.054715,0.977045,21.785714,11.583463,11.583463,9.136507,9.136507,,0.913674,11.583931,239514.117113
GPU_V2,BEERLAMBERT,0,100000,0.006463,,0.952000,0.231000,5.280000,"('BEERLAMBERT', '0')",50,56,0.773635,0.866471,15.472691,0.892857,2.200217,2.200217,2.350456,2.350456,1.006808,0.545501,2.200227,143000.367651
GPU_V2,BEERLAMBERT,0,500000,0.007232,,1.001000,0.814000,5.417000,"('BEERLAMBERT', '0')",50,56,3.456858,3.871681,69.137168,0.892857,12.412749,12.412749,11.264104,11.264104,1.004425,0.919441,12.413289,241026.067986
GPU_V2,BEERLAMBERT,0,1000000,0.007829,,0.925000,1.558000,5.346000,"('BEERLAMBERT', '0')",50,56,6.386512,7.152893,127.730234,0.892857,17.115213,17.115213,14.184315,14.184315,1.000128,0.941576,17.116265,246828.567476
GPU_V2,BEERLAMBERT,0,5000000,0.013814,,0.934000,7.529000,5.352000,"('BEERLAMBERT', '0')",50,56,18.097582,20.269292,361.951643,0.892857,39.981034,39.978140,31.439988,31.437713,1.046547,0.974992,39.986980,255588.291093
GPU_V2,BEERLAMBERT,0,10000000,0.021292,,0.935000,14.907000,5.450000,"('BEERLAMBERT', '0')",50,56,23.482998,26.300958,469.659966,0.892857,49.990043,49.990043,39.345576,39.345576,1.027757,0.980000,49.999387,256901.075747
GPU_V2,BEERLAMBERT,0,50000000,0.081546,,1.024000,74.684000,5.838000,"('BEERLAMBERT', '0')",50,56,30.657543,34.336448,613.150860,0.892857,71.966596,71.966596,51.544907,51.544907,0.999669,0.986108,71.986083,258502.421134
GPU_V2,BEERLAMBERT,1,100000,0.007596,,1.036000,0.227000,6.332000,"('BEERLAMBERT', '1')",50,56,0.658241,0.737230,13.164824,0.892857,1.480779,1.480974,2.044760,2.045030,0.831490,0.324681,1.480782,85113.899004
GPU_V2,BEERLAMBERT,1,500000,0.007109,,1.014000,0.824000,5.271000,"('BEERLAMBERT', '1')",50,56,3.516669,3.938669,70.333380,0.892857,13.815867,13.815867,12.047967,12.047967,0.999578,0.927623,13.816543,243170.874380
GPU_V2,BEERLAMBERT,1,1000000,0.008023,,0.986000,1.573000,5.465000,"('BEERLAMBERT', '1')",50,56,6.232083,6.979933,124.641655,0.892857,13.782376,13.780658,11.049358,11.047981,0.969463,0.927447,13.783048,243124.766749
GPU_V2,BEERLAMBERT,1,5000000,0.014188,,0.948000,7.566000,5.674000,"('BEERLAMBERT', '1')",50,56,17.620524,19.734987,352.410488,0.892857,39.224767,39.224767,29.324993,29.324993,0.982943,0.974510,39.230488,255461.875604
GPU_V2,BEERLAMBERT,1,10000000,0.022069,,0.947000,15.044000,6.078000,"('BEERLAMBERT', '1')",50,56,22.656215,25.374960,453.124292,0.892857,50.453713,50.453713,39.547012,39.547012,1.002628,0.980184,50.463233,256949.267465
