depth_cm,dose_percent
0.15,77.6411
0.45,77.9169
0.75,77.2202
1.05,76.6594
1.35,76.4216
1.65,76.1383
1.95,75.226
2.25,74.4896
2.55,74.3925
2.85,74.0005
3.15,73.1949
3.45,72.5448
3.75,71.6996
4.05,71.3271
4.35,70.8463
4.65,70.5096
4.95,69.9065
5.25,69.0128
5.55,68.0466
5.85,67.5365
6.15,67.2514
6.45,66.3509
6.75,65.7522
7.05,65.3426
7.35,64.0474
7.65,63.5949
7.95,62.9198
8.25,62.7053
8.55,61.9052
8.85,60.9601
9.15,60.7402
9.45,59.988
9.75,59.2605
10.05,58.9131
10.35,57.9369
10.65,57.7127
10.95,56.9689
11.25,56.5063
11.55,55.8338
11.85,55.5159
12.15,55.069
12.45,54.8086
12.75,100
13.05,98.7123
13.35,97.0714
13.65,95.9779
13.95,93.8052
14.25,91.3964
14.55,89.8124
14.85,87.8369
15.15,85.5721
15.45,84.1369
15.75,82.4703
16.05,80.2151
16.35,78.2638
16.65,76.6763
16.95,74.1834
17.25,72.2416
17.55,38.5253
17.85,37.647
18.15,37.0604
18.45,36.761
18.75,35.6995
19.05,35.1901
19.35,34.7554
19.65,34.3179
19.95,33.7797
20.25,33.439
20.55,32.8585
20.85,32.3106
21.15,31.8459
21.45,31.5873
21.75,30.9416
22.05,30.5338
22.35,30.3574
22.65,29.7995
22.95,29.2039
23.25,29.0098
23.55,28.5848
23.85,28.4205
24.15,27.8841
24.45,27.5316
24.75,27.3579
25.05,26.8691
25.35,26.485
25.65,26.2047
25.95,26.0213
26.25,25.294
26.55,25.1068
26.85,24.8804
27.15,24.6409
27.45,24.3304
27.75,23.6165
28.05,23.578
28.35,23.3038
28.65,22.8463
28.95,22.5941
29.25,22.0972
29.55,21.8052
29.85,21.8174
