1.37636,0.945788,0.576886,0.662236,1.97225,1.57662,1.76296,1.54997,1.35705,1.49346,2.50262,1.87827,1.32214,1.99479,2.26114,1.70307,3.05701,2.85671,1.78511,4.38597,2.69515,2.01395,3.74361,3.86839,4.20818,4.30594,3.98597,4.66602,5.29732,6.87685,6.15645,6.47159,7.52232,430.574,743.768,598.117,589.022,674.968,710.519,637.331,623.308,622.728,617.79,658.442,634.201,620.73,688.291,634.032,738.683,665.11,667.41,631.505,700.548,660.066,703.572,677.368,713.142,674.948,632.331,649.105,618.822,683.898,727.897,631.446,654.339,622.077,417.712,7.04518,6.90489,7.13408,5.30384,5.14379,5.05532,3.99052,3.88748,3.78045,3.32436,3.1731,2.68763,2.79001,2.27949,2.7503,2.61485,2.37559,2.84131,1.97404,2.51543,2.24093,1.8475,2.24294,1.55348,1.89295,1.13378,1.21783,1.52909,1.59662,0.528852,1.19992,1.18724,1.15056
1.21283,0.958186,0.84709,1.79794,0.895368,1.45474,1.10952,2.26896,1.41143,1.35836,1.73221,3.10864,1.37939,1.58721,2.45936,2.51696,2.70193,3.37693,2.74886,2.78431,3.08592,3.8542,2.90182,3.64447,4.05575,4.56991,5.50315,4.32127,5.39335,6.81766,7.71151,7.68705,7.57878,462.646,662.421,629.617,642.495,676.162,708.146,669.067,629.674,636.933,667.535,639.894,646.574,732.809,624.638,659.737,674.584,561.841,642.613,652.178,636.67,572.112,613.24,656.863,732.196,648.707,648.635,686.806,681.959,616.081,696.173,684.449,642.604,755.964,427.335,8.90987,6.19104,5.87081,6.10201,6.05246,4.60578,3.55721,3.83143,3.73096,3.84388,3.28007,3.85201,2.5413,3.88883,2.92869,2.80025,2.79043,2.73834,1.78726,1.95772,2.06356,3.00392,1.73623,1.78251,1.82491,1.56251,1.06868,1.82997,0.83668,1.54642,1.6499,0.437547,0.92593
0.838528,1.58158,1.47477,1.31191,1.09666,1.45726,1.07194,1.92606,1.99028,2.24851,1.40502,2.88747,2.14531,1.94969,2.09612,2.4122,3.02342,2.73361,3.18594,2.44408,3.56356,4.20808,3.85263,3.23393,4.27757,4.33398,3.48128,5.69555,7.36272,7.30312,7.65272,10.7382,10.2679,413.319,598.69,693.631,650.868,642.741,664.033,659.555,632.799,659.677,632.73,625.62,733.614,613.465,639.902,651.851,729.107,635.647,662.886,667.66,643.416,642.275,668.782,660.402,659.69,677.962,693.67,679.645,675.977,698.418,645.993,619.818,649.288,667.183,486.387,10.6036,10.4365,8.52737,7.35405,5.47495,5.64494,5.00116,5.0404,6.5153,4.18053,4.7232,3.91642,3.09079,3.42625,3.85414,2.88492,1.76781,2.49336,2.69502,2.56622,3.31691,1.72979,1.09663,2.72575,1.58222,2.28935,1.40875,1.274,1.28266,1.57333,1.45113,1.04429,1.45972
1.68519,1.10127,1.90107,1.01703,1.27549,1.25875,1.62801,1.81468,1.34625,1.22674,2.11325,1.87719,2.25444,2.42829,2.69268,2.97671,3.12683,2.92098,3.61154,2.68463,3.19397,3.87574,5.29999,4.29401,3.88121,5.2324,5.62087,4.57123,7.45506,8.80299,8.01394,10.4372,14.0021,438.601,642.504,626.645,646.166,625.63,645.868,659.378,626.641,677.158,691.29,662.434,659.258,636.603,679.489,672.572,670.163,635.496,653.288,677.182,647.647,659.86,647.566,667.904,656.109,653.253,623.424,650.057,687.517,628.928,635.88,662.802,655.473,665.402,441.941,14.5216,10.623,9.21282,7.67322,6.31792,7.13784,5.06868,6.02555,4.01768,4.35303,3.66082,4.92706,3.36596,2.14392,3.0343,3.19942,3.02596,2.75798,2.40368,4.4308,1.87113,1.9619,2.70071,1.63964,1.78525,1.78953,1.56738,1.62334,1.47933,1.3447,0.962408,1.20973,1.43473
1.45391,1.85118,0.875561,1.32783,1.03203,1.91146,1.3981,1.6421,1.46368,2.03768,2.73472,1.92239,2.56065,2.34091,2.66264,3.18727,3.70328,3.34361,4.99454,2.98258,4.62285,4.07618,5.69931,5.19005,5.60875,5.56089,5.77361,8.24946,6.27618,8.72313,11.6401,9.98454,16.3429,402.327,666.893,671.463,651.166,630.792,631.035,644.687,620.865,658.513,669.73,652.128,607.164,637.415,641.223,666.849,662.727,714.03,645.598,689.36,624.722,633.233,653.837,649.211,604.367,675.177,633.479,633.491,670.468,669.713,612.969,567.497,682.935,614.351,438.443,16.2781,9.15658,8.81868,9.11359,7.67753,6.08488,7.03333,5.01801,5.41663,4.30384,3.51873,4.35747,5.21992,5.02967,3.03203,3.9024,2.53632,1.6862,2.52002,2.25652,2.3114,1.86336,2.29803,1.52935,2.74771,1.81959,1.59647,2.06831,1.21556,1.88939,1.46499,1.05344,1.47329
1.82164,2.2207,1.34248,1.14225,1.70477,1.74932,1.72364,1.919,4.14339,1.80614,3.01999,1.97754,2.25315,2.2943,2.39084,2.93334,2.9481,3.88571,3.69103,3.61523,4.70028,4.70387,4.95469,5.37701,5.74049,5.3735,5.27959,6.62205,10.2148,8.79403,13.4272,12.9952,17.8533,429.367,647.483,564.373,683.43,661.338,655.961,656.411,684.935,686.848,615.977,637.854,586.661,663.936,644.674,628.894,608.27,662.284,699.821,637.742,661.756,718.974,610.388,612.761,601.735,636.23,680.998,686.069,640.641,610.577,650.259,631.711,641.679,632.045,446.345,18.1752,13.6279,8.99359,9.75636,8.15499,8.40036,7.31637,4.71847,5.98727,6.14425,4.54486,4.87394,3.60966,4.35479,3.1683,3.41502,2.53584,2.92157,2.86744,2.79281,1.96213,2.45114,2.09718,1.75035,2.42868,3.04368,1.48498,1.7593,1.65682,1.63243,1.4662,2.2379,0.997663
1.01832,1.63091,1.36462,1.47615,1.46935,1.58437,1.17253,2.16992,1.551,2.89901,2.16934,3.74344,2.41655,2.85749,2.88453,3.61205,2.945,3.43058,3.7552,4.57612,4.42168,4.85341,5.08612,5.36301,5.75042,4.27171,8.32822,7.22553,8.98515,9.878,9.9669,18.795,24.0874,474.578,681.9,654.459,602.95,639.929,615.659,602.741,629.218,642.936,628.02,609.595,632.257,631.969,604.491,578.001,647.791,592.983,626.383,636.855,631.139,630.674,604.067,670.352,699.467,615.2,646.75,596.693,653.119,724.702,595.301,690.222,683.3,652.562,420.069,21.7337,15.6576,11.8365,10.6194,7.1506,7.97782,7.40818,7.89101,6.66454,5.34994,4.43224,5.8929,4.8227,4.64104,3.70367,3.91719,4.30485,3.23114,3.60232,2.31386,3.81886,2.67125,2.23375,2.72186,2.11968,1.81997,1.76714,2.17681,2.81387,1.91559,1.62987,0.715022,1.41812
1.29259,1.38084,1.75816,1.8358,1.98188,1.72564,1.58528,2.13355,2.95653,2.5265,2.70408,2.8053,3.0855,2.59253,2.89663,3.53678,3.58148,3.88221,3.94744,4.62851,4.98009,3.45189,7.9589,7.44769,5.60666,7.07005,7.08711,8.45586,11.9278,9.33091,15.2092,17.8225,24.0044,421.569,568.336,630.426,639.59,593.945,599.066,657.246,631.706,693.209,598.258,622.257,707.692,650.232,587.436,668.158,601.685,627.403,610.386,620.355,627.506,589.614,648.05,606.352,663.311,625.946,637.844,632.457,612.703,581.922,655.309,627.469,698.837,598.071,430.654,21.9522,17.861,12.6932,12.3514,12.7071,10.2336,9.30464,6.80691,7.29391,6.6737,5.31664,5.9032,5.1877,5.11744,4.0751,3.60116,4.15187,3.56772,2.75973,2.3413,2.44841,2.20726,2.97185,1.93519,2.34547,2.17695,1.30469,1.38226,1.62498,1.55997,1.63435,1.87785,1.2451
1.98833,2.21256,1.21899,1.3534,2.0686,1.92638,2.05718,2.65422,2.48418,2.36169,2.57222,2.68936,3.10487,3.46278,3.69447,4.67363,3.86044,3.82027,4.53523,5.75123,5.11872,5.35477,6.11795,6.50534,4.94818,6.86026,8.18817,10.7933,12.3952,14.7824,18.0323,20.0972,20.8614,427.145,582.702,682.717,570.066,579.117,702.985,604.415,641.067,599.199,652.592,569.522,699.879,618.524,650.156,604.267,674.361,561.308,667.71,651.318,614.016,681.862,605.714,646.23,580.802,649.056,707.499,595.265,583.118,595.227,627.12,573.923,573.243,651.467,394.085,22.272,20.8443,12.869,13.6105,12.8953,11.2422,9.10665,8.33992,6.47753,6.13995,6.65277,4.49317,5.04965,4.69746,3.96403,3.73422,3.4545,4.83054,4.42196,4.18278,2.19322,3.15917,3.05104,2.26857,2.08326,2.22648,2.09793,1.91986,2.76551,2.71731,2.78785,1.3729,1.70404
2.06603,1.55638,1.93758,2.03263,1.76928,1.7519,2.50287,2.49631,3.597,3.31171,2.74111,3.14532,2.72345,3.78864,3.20777,4.78621,3.44165,4.33757,4.7629,3.79005,4.86494,6.15868,5.84455,6.98724,8.2624,7.99116,9.1511,10.1921,9.58179,12.2872,17.5386,19.6233,24.2341,380.306,640.485,615.425,624.79,691.512,679.058,614.633,641.225,648.479,654.775,616.394,603.14,631.367,599.797,568.297,654.061,577.859,667.278,693.196,710.727,639.877,576.406,625.098,625.722,576.749,591.124,610.048,581.849,571.909,627.303,633.17,582.167,657.548,394.92,21.4979,20.7282,18.6291,15.9489,12.8985,11.3411,8.58302,8.96471,6.76681,7.02664,6.4909,7.31925,4.33375,4.39463,5.27602,5.39457,3.8006,3.93462,4.50245,3.89257,3.37069,3.40796,3.29983,3.93968,2.12074,1.82802,2.0521,1.25733,1.95549,2.10155,1.80729,2.42535,2.11311
